length=;3234;
t1;t2;x;y;yaw;numCorners;numMatches;numInliers;estValid;
1417771232.13299989700317382812;1417771232.18799996376037597656;-0.085;0.559;0.010;976;822;818;1;
1417771232.18799996376037597656;1417771232.24300003051757812500;0.122;0.339;0.057;944;816;815;1;
1417771232.24300003051757812500;1417771232.29699993133544921875;-0.042;-0.115;0.098;978;832;825;1;
1417771232.29699993133544921875;1417771232.35199999809265136719;0.198;0.189;0.071;1000;850;847;1;
1417771232.35199999809265136719;1417771232.40599989891052246094;0.083;0.457;0.013;1000;851;848;1;
1417771232.40599989891052246094;1417771232.46099996566772460938;0.148;0.450;0.015;1000;860;852;1;
1417771232.46099996566772460938;1417771232.51500010490417480469;0.110;-0.270;0.097;1000;859;852;1;
1417771232.51500010490417480469;1417771232.56999993324279785156;0.121;0.265;0.066;1000;851;849;1;
1417771232.56999993324279785156;1417771232.62400007247924804688;0.169;0.659;0.005;1000;851;848;1;
1417771232.62400007247924804688;1417771232.67899990081787109375;0.118;0.519;0.034;1000;844;835;1;
1417771232.67899990081787109375;1417771232.73300004005432128906;0.014;0.049;0.066;1000;846;842;1;
1417771232.73300004005432128906;1417771232.78800010681152343750;0.140;0.034;0.088;1000;827;822;1;
1417771232.78800010681152343750;1417771232.84299993515014648438;-0.172;-0.284;0.139;1000;843;841;1;
1417771232.84299993515014648438;1417771232.89800000190734863281;0.177;0.836;-0.009;1000;858;858;1;
1417771232.89800000190734863281;1417771232.95199990272521972656;-0.001;0.045;0.090;1000;843;838;1;
1417771232.95199990272521972656;1417771233.00699996948242187500;0.085;0.382;0.031;1000;847;842;1;
1417771233.00699996948242187500;1417771233.06100010871887207031;0.119;0.301;0.063;1000;819;788;1;
1417771233.06100010871887207031;1417771233.11599993705749511719;0.086;-0.497;0.186;1000;893;825;1;
1417771233.11599993705749511719;1417771233.17000007629394531250;0.241;0.185;0.068;998;839;833;1;
1417771233.17000007629394531250;1417771233.22499990463256835938;0.183;0.783;0.022;1000;847;847;1;
1417771233.22499990463256835938;1417771233.27900004386901855469;0.152;0.178;0.076;1000;834;833;1;
1417771233.27900004386901855469;1417771233.33299994468688964844;0.238;0.609;0.015;1000;854;850;1;
1417771233.33299994468688964844;1417771233.38800001144409179688;0.003;0.292;0.082;997;841;841;1;
1417771233.38800001144409179688;1417771233.44199991226196289062;0.185;0.493;0.024;1000;853;851;1;
1417771233.44199991226196289062;1417771233.49699997901916503906;-0.055;0.142;0.064;1000;841;840;1;
1417771233.49699997901916503906;1417771233.55100011825561523438;0.135;0.111;0.105;1000;850;849;1;
1417771233.55100011825561523438;1417771233.60599994659423828125;0.229;0.542;0.034;1000;844;842;1;
1417771233.60599994659423828125;1417771233.66000008583068847656;-0.119;0.283;0.054;1000;843;843;1;
1417771233.66000008583068847656;1417771233.71499991416931152344;-0.032;0.609;0.013;1000;843;840;1;
1417771233.71499991416931152344;1417771233.76900005340576171875;-0.028;-0.241;0.147;1000;855;855;1;
1417771233.76900005340576171875;1417771233.82399988174438476562;0.081;1.191;-0.048;1000;847;843;1;
1417771233.82399988174438476562;1417771233.87800002098083496094;0.059;-0.035;0.094;1000;850;847;1;
1417771233.87800002098083496094;1417771233.93199992179870605469;0.109;-0.064;0.105;1000;840;840;1;
1417771233.93199992179870605469;1417771233.98699998855590820312;0.119;0.335;0.057;1000;855;852;1;
1417771233.98699998855590820312;1417771234.04099988937377929688;-0.075;-0.391;0.149;1000;825;822;1;
1417771234.04099988937377929688;1417771234.09599995613098144531;0.189;0.163;0.083;1000;847;832;1;
1417771234.09599995613098144531;1417771234.15000009536743164062;-0.105;0.619;0.023;1000;823;823;1;
1417771234.15000009536743164062;1417771234.20499992370605468750;-0.055;0.263;0.052;1000;838;834;1;
1417771234.20499992370605468750;1417771234.25900006294250488281;0.165;0.257;0.060;1000;854;845;1;
1417771234.25900006294250488281;1417771234.31399989128112792969;0.034;0.509;-0.003;1000;836;833;1;
1417771234.31399989128112792969;1417771234.36800003051757812500;0.037;0.889;-0.028;1000;833;832;1;
1417771234.36800003051757812500;1417771234.42199993133544921875;0.014;0.224;0.048;1000;822;820;1;
1417771234.42199993133544921875;1417771234.47699999809265136719;0.108;0.496;-0.009;1000;845;833;1;
1417771234.47699999809265136719;1417771234.53099989891052246094;0.084;0.232;0.028;1000;835;832;1;
1417771234.53099989891052246094;1417771234.58500003814697265625;0.023;0.417;0.020;1000;827;821;1;
1417771234.58500003814697265625;1417771234.64000010490417480469;0.135;0.274;0.021;1000;839;831;1;
1417771234.64000010490417480469;1417771234.69400000572204589844;-0.101;0.536;0.019;1000;823;820;1;
1417771234.69400000572204589844;1417771234.74799990653991699219;-0.098;0.039;0.036;1000;836;835;1;
1417771234.74799990653991699219;1417771234.80299997329711914062;0.061;0.050;0.068;1000;833;827;1;
1417771234.80299997329711914062;1417771234.85700011253356933594;0.143;0.150;0.014;1000;823;816;1;
1417771234.85700011253356933594;1417771234.91100001335144042969;-0.044;0.487;-0.010;1000;827;824;1;
1417771234.91100001335144042969;1417771234.96499991416931152344;-0.035;0.273;-0.001;1000;831;825;1;
1417771234.96499991416931152344;1417771235.01999998092651367188;0.008;-0.019;0.057;1000;830;826;1;
1417771235.01999998092651367188;1417771235.07500004768371582031;-0.043;0.220;0.024;1000;823;820;1;
1417771235.07500004768371582031;1417771235.12899994850158691406;0.099;0.074;0.023;1000;827;815;1;
1417771235.12899994850158691406;1417771235.18300008773803710938;0.061;-0.002;0.018;1000;839;835;1;
1417771235.18300008773803710938;1417771235.23799991607666015625;0.070;-0.243;0.065;1000;827;822;1;
1417771235.23799991607666015625;1417771235.29200005531311035156;0.183;0.311;-0.036;1000;825;813;1;
1417771235.29200005531311035156;1417771235.34599995613098144531;0.136;-0.272;0.057;1000;809;804;1;
1417771235.34599995613098144531;1417771235.40000009536743164062;0.082;-0.104;0.043;1000;813;806;1;
1417771235.40000009536743164062;1417771235.45499992370605468750;-0.007;0.145;0.006;1000;811;808;1;
1417771235.45499992370605468750;1417771235.50900006294250488281;-0.009;-0.100;0.024;1000;820;808;1;
1417771235.50900006294250488281;1417771235.56299996376037597656;-0.003;-0.134;0.018;1000;851;845;1;
1417771235.56299996376037597656;1417771235.61700010299682617188;-0.017;-0.281;0.065;1000;825;821;1;
1417771235.61700010299682617188;1417771235.67000007629394531250;0.024;-0.048;0.014;1000;838;823;1;
1417771235.67000007629394531250;1417771235.72499990463256835938;0.108;0.146;-0.013;1000;803;800;1;
1417771235.72499990463256835938;1417771235.77900004386901855469;0.196;-0.186;0.025;1000;842;833;1;
1417771235.77900004386901855469;1417771235.83299994468688964844;0.010;-0.116;0.031;1000;813;799;1;
