length=;3857;
t1;t2;x;y;yaw;numCorners;numMatches;numInliers;estValid;
1417770884.94199991226196289062;1417770885.01699995994567871094;-0.048;0.104;-0.074;790;532;528;1;
1417770885.01699995994567871094;1417770885.09200000762939453125;-0.062;0.581;-0.146;757;511;508;1;
1417770885.09200000762939453125;1417770885.16700005531311035156;-0.080;0.250;-0.096;690;504;499;1;
1417770885.16700005531311035156;1417770885.24200010299682617188;-0.086;0.424;-0.142;786;544;542;1;
1417770885.24200010299682617188;1417770885.31699991226196289062;-0.032;0.619;-0.168;705;485;482;1;
1417770885.31699991226196289062;1417770885.39199995994567871094;-0.117;0.889;-0.225;721;521;517;1;
1417770885.39199995994567871094;1417770885.46700000762939453125;-0.121;0.159;-0.088;882;547;543;1;
1417770885.46700000762939453125;1417770885.54200005531311035156;-0.108;0.348;-0.126;768;541;539;1;
1417770885.54200005531311035156;1417770885.61700010299682617188;0.138;0.580;-0.173;839;546;540;1;
1417770885.61700010299682617188;1417770885.69199991226196289062;0.053;0.220;-0.103;921;560;557;1;
1417770885.69199991226196289062;1417770885.76799988746643066406;-0.076;-0.015;-0.116;891;576;573;1;
1417770885.76799988746643066406;1417770885.84299993515014648438;0.005;0.379;-0.112;782;533;528;1;
1417770885.84299993515014648438;1417770885.91799998283386230469;-0.091;0.451;-0.133;738;510;510;1;
1417770885.91799998283386230469;1417770885.99300003051757812500;0.045;0.570;-0.162;573;440;434;1;
1417770885.99300003051757812500;1417770886.06800007820129394531;-0.160;-0.067;-0.049;528;423;418;1;
1417770886.06800007820129394531;1417770886.14299988746643066406;-0.132;0.333;-0.100;533;422;418;1;
1417770886.14299988746643066406;1417770886.21900010108947753906;-0.011;0.343;-0.132;651;455;447;1;
1417770886.21900010108947753906;1417770886.29399991035461425781;-0.217;-0.161;-0.026;695;488;480;1;
1417770886.29399991035461425781;1417770886.36899995803833007812;-0.035;-0.134;-0.034;681;473;465;1;
1417770886.36899995803833007812;1417770886.44499993324279785156;-0.126;0.020;-0.033;688;453;449;1;
1417770886.44499993324279785156;1417770886.51999998092651367188;-0.192;-0.317;0.022;749;490;484;1;
1417770886.51999998092651367188;1417770886.59500002861022949219;-0.128;0.066;-0.035;651;450;442;1;
1417770886.59500002861022949219;1417770886.67100000381469726562;-0.137;-0.173;-0.003;584;448;436;1;
1417770886.67100000381469726562;1417770886.74600005149841308594;-0.089;-0.014;-0.017;760;482;470;1;
1417770886.74600005149841308594;1417770886.82100009918212890625;0.023;0.020;-0.026;698;456;453;1;
1417770886.82100009918212890625;1417770886.89700007438659667969;-0.046;-0.029;-0.033;629;440;432;1;
1417770886.89700007438659667969;1417770886.97199988365173339844;-0.016;-0.113;-0.013;571;419;412;1;
1417770886.97199988365173339844;1417770887.04699993133544921875;-0.087;0.038;-0.049;682;451;446;1;
1417770887.04699993133544921875;1417770887.12199997901916503906;-0.017;0.412;-0.130;655;423;408;1;
1417770887.12199997901916503906;1417770887.19799995422363281250;-0.138;0.114;-0.044;787;459;447;1;
1417770887.19799995422363281250;1417770887.27300000190734863281;-0.013;-0.162;0.007;701;433;423;1;
1417770887.27300000190734863281;1417770887.34800004959106445312;-0.113;-0.106;-0.038;678;425;411;1;
1417770887.34800004959106445312;1417770887.42300009727478027344;-0.113;0.135;-0.099;643;393;391;1;
1417770887.42300009727478027344;1417770887.49799990653991699219;-0.019;0.047;-0.070;602;378;377;1;
1417770887.49799990653991699219;1417770887.57399988174438476562;-0.068;-0.044;-0.048;653;391;381;1;
1417770887.57399988174438476562;1417770887.65000009536743164062;-0.079;-0.289;0.011;664;383;376;1;
1417770887.65000009536743164062;1417770887.72499990463256835938;-0.028;0.199;-0.086;652;387;380;1;
1417770887.72499990463256835938;1417770887.80100011825561523438;-0.033;0.053;-0.037;534;344;340;1;
1417770887.80100011825561523438;1417770887.87800002098083496094;0.042;0.340;-0.148;659;403;393;1;
1417770887.87800002098083496094;1417770887.95300006866455078125;-0.049;0.091;-0.083;734;410;387;1;
1417770887.95300006866455078125;1417770888.02800011634826660156;-0.072;-0.113;-0.023;719;383;379;1;
1417770888.02800011634826660156;1417770888.10400009155273437500;-0.076;-0.135;0.005;807;413;399;1;
1417770888.10400009155273437500;1417770888.17899990081787109375;-0.037;0.027;-0.062;780;397;380;1;
1417770888.17899990081787109375;1417770888.25500011444091796875;0.059;0.122;-0.034;729;389;374;1;
1417770888.25500011444091796875;1417770888.33100008964538574219;0.000;-0.048;-0.026;644;359;349;1;
1417770888.33100008964538574219;1417770888.40599989891052246094;-0.076;0.122;-0.074;663;365;352;1;
1417770888.40599989891052246094;1417770888.48099994659423828125;-0.036;-0.249;0.018;657;365;359;1;
1417770888.48099994659423828125;1417770888.55699992179870605469;-0.068;-0.034;-0.031;579;348;338;1;
1417770888.55699992179870605469;1417770888.63199996948242187500;-0.038;-0.086;-0.006;488;313;303;1;
1417770888.63199996948242187500;1417770888.70700001716613769531;-0.096;0.176;-0.069;661;331;309;1;
1417770888.70700001716613769531;1417770888.78299999237060546875;0.004;0.276;-0.080;659;341;316;1;
1417770888.78299999237060546875;1417770888.85800004005432128906;-0.008;0.017;-0.031;716;346;323;1;
1417770888.85800004005432128906;1417770888.93300008773803710938;-0.136;-0.114;0.014;688;437;338;1;
1417770888.93300008773803710938;1417770889.00900006294250488281;-0.041;0.068;-0.026;563;322;308;1;
1417770889.00900006294250488281;1417770889.08400011062622070312;-0.053;-0.109;-0.001;588;348;332;1;
1417770889.08400011062622070312;1417770889.15899991989135742188;-0.065;0.060;-0.047;594;336;315;1;
1417770889.15899991989135742188;1417770889.23399996757507324219;-0.045;0.092;-0.044;536;314;301;1;
1417770889.23399996757507324219;1417770889.30999994277954101562;-0.060;0.041;-0.038;515;290;281;1;
1417770889.30999994277954101562;1417770889.38499999046325683594;0.008;-0.173;-0.001;533;312;298;1;
1417770889.38499999046325683594;1417770889.46000003814697265625;-0.019;0.076;-0.016;482;309;295;1;
1417770889.46000003814697265625;1417770889.53600001335144042969;-0.041;0.164;-0.059;537;318;306;1;
1417770889.53600001335144042969;1417770889.61100006103515625000;-0.018;0.093;-0.050;513;324;311;1;
1417770889.61100006103515625000;1417770889.68700003623962402344;-0.034;0.157;-0.052;550;325;305;1;
1417770889.68700003623962402344;1417770889.76200008392333984375;-0.116;0.232;-0.095;609;326;319;1;
