frame;rangeResMag;bearingResMag;rangeResClr;height;width
199;0.036875;0.180528;0.036875;750;256
200;0.036875;0.180528;0.036875;750;256
201;0.036875;0.180528;0.036875;750;256
202;0.036875;0.180528;0.036875;750;256
203;0.036875;0.180528;0.036875;750;256
204;0.036875;0.180528;0.036875;750;256
205;0.036875;0.180528;0.036875;750;256
206;0.036875;0.180528;0.036875;750;256
207;0.036875;0.180528;0.036875;750;256
208;0.036875;0.180528;0.036875;750;256
209;0.036875;0.180528;0.036875;750;256
210;0.036875;0.180528;0.036875;750;256
211;0.036875;0.180528;0.036875;750;256
212;0.036875;0.180528;0.036875;750;256
213;0.036875;0.180528;0.036875;750;256
214;0.036875;0.180528;0.036875;750;256
215;0.036875;0.180528;0.036875;750;256
216;0.036875;0.180528;0.036875;750;256
217;0.036875;0.180528;0.036875;750;256
218;0.036875;0.180528;0.036875;750;256
219;0.036875;0.180528;0.036875;750;256
220;0.036875;0.180528;0.036875;750;256
221;0.036875;0.180528;0.036875;750;256
222;0.036875;0.180528;0.036875;750;256
223;0.036875;0.180528;0.036875;750;256
224;0.036875;0.180528;0.036875;750;256
225;0.036875;0.180528;0.036875;750;256
226;0.036875;0.180528;0.036875;750;256
227;0.036875;0.180528;0.036875;750;256
228;0.036875;0.180528;0.036875;750;256
229;0.036875;0.180528;0.036875;750;256
230;0.036875;0.180528;0.036875;750;256
231;0.036875;0.180528;0.036875;750;256
232;0.036875;0.180528;0.036875;750;256
233;0.036875;0.180528;0.036875;750;256
234;0.036875;0.180528;0.036875;750;256
235;0.036875;0.180528;0.036875;750;256
236;0.036875;0.180528;0.036875;750;256
237;0.036875;0.180528;0.036875;750;256
238;0.036875;0.180528;0.036875;750;256
239;0.036875;0.180528;0.036875;750;256
240;0.036875;0.180528;0.036875;750;256
241;0.036875;0.180528;0.036875;750;256
242;0.036875;0.180528;0.036875;750;256
243;0.036875;0.180528;0.036875;750;256
244;0.036875;0.180528;0.036875;750;256
245;0.036875;0.180528;0.036875;750;256
246;0.036875;0.180528;0.036875;750;256
247;0.036875;0.180528;0.036875;750;256
248;0.036875;0.180528;0.036875;750;256
249;0.036875;0.180528;0.036875;750;256
250;0.036875;0.180528;0.036875;750;256
251;0.036875;0.180528;0.036875;750;256
252;0.036875;0.180528;0.036875;750;256
253;0.036875;0.180528;0.036875;750;256
254;0.036875;0.180528;0.036875;750;256
255;0.036875;0.180528;0.036875;750;256
256;0.036875;0.180528;0.036875;750;256
257;0.036875;0.180528;0.036875;750;256
